id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,texture_id,ch_input_id
136,5,0,0,-23.6588,-13.6919,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,100,34,255,24,0,0,0.1,0,136
137,5,0,0,-9.7888,30.5505,2.0,0.0,0.0,0.0,1.0,1.0,1.0,215,229,34,255,24,0,0,0.1,0,137
138,5,0,0,-46.5444,-19.3596,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,169,34,255,24,0,0,0.1,0,138
139,5,0,0,-5.6278,6.9489,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,178,34,255,24,0,0,0.1,0,139
140,5,0,0,2.6943,8.4716,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,116,34,255,24,0,0,0.1,0,140
141,5,0,0,-19.4978,-22.9971,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,167,34,255,24,0,0,0.1,0,141
142,5,0,0,-138.7803,-13.0151,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,191,34,255,24,0,0,0.1,0,142
143,5,0,0,-138.7803,-13.0151,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,225,34,255,24,0,0,0.1,0,143
144,5,0,0,11.0163,-62.6715,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,179,34,255,24,0,0,0.1,0,144
145,5,0,0,-4.2408,-62.3331,2.0,0.0,0.0,0.0,1.0,1.0,1.0,219,229,34,255,24,0,0,0.1,0,145
146,5,0,0,-86.0741,41.9706,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,39,34,255,24,0,0,0.1,0,146
147,5,0,0,-1.4668,-11.1541,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,152,34,255,24,0,0,0.1,0,147
148,5,0,0,-74.2845,44.9314,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,229,34,255,24,0,0,0.1,0,148
149,5,0,0,-40.3029,-30.1876,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,116,34,255,24,0,0,0.1,0,149
150,5,0,0,-86.7676,58.3817,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,226,34,255,24,0,0,0.1,0,150
151,5,0,0,-123.5232,41.463,2.0,0.0,0.0,0.0,1.0,1.0,1.0,190,229,34,255,24,0,0,0.1,0,151
152,5,0,0,-62.495,-42.369,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,96,34,255,24,0,0,0.1,0,152
153,5,0,0,-138.0868,-23.3355,2.0,0.0,0.0,0.0,1.0,1.0,1.0,198,229,34,255,24,0,0,0.1,0,153
154,5,0,0,-110.3467,75.5542,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,227,34,255,24,0,0,0.1,0,154
155,5,0,0,-54.173,-36.9551,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,85,34,255,24,0,0,0.1,0,155
156,5,0,0,-136.6998,-29.7646,2.0,0.0,0.0,0.0,1.0,1.0,1.0,160,229,34,255,24,0,0,0.1,0,156
157,5,0,0,-108.2662,34.7802,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,204,34,255,24,0,0,0.1,0,157
158,5,0,0,-131.8453,83.8443,2.0,0.0,0.0,0.0,1.0,1.0,1.0,166,229,34,255,24,0,0,0.1,0,158
