id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,ch_input_id
3207,5,3205,1,-10.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,255,165,38,255,1,0,0,0.1,0
3208,5,3205,1,-10.0,4.0,0.0,0.0,0.0,0.0,2.905,2.905,2.905,255,165,38,255,1,0,0,0.1,0
3215,5,3205,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,255,165,38,255,22,0,16,0.4,0
3216,5,3215,2,0.0,0.0,0.0864,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3217,5,3215,2,0.6294,0.0,0.9009,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3218,5,3215,2,1.2588,0.0,1.5038,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3219,5,3215,2,1.8882,0.0,2.9186,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3220,5,3215,2,2.5175,0.0,3.9214,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3221,5,3215,2,3.1469,0.0,4.9761,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3222,5,3215,2,3.7763,0.0,6.5446,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3223,5,3215,2,4.4057,0.0,8.0693,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3224,5,3215,2,5.0351,0.0,9.2698,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3225,5,3215,2,5.6645,0.0,10.8753,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3226,5,3215,2,6.2939,0.0,12.3638,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3227,5,3215,2,6.9232,0.0,12.424,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3228,5,3215,2,7.5526,0.0,13.8568,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3229,5,3215,2,8.182,0.0,15.4372,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3230,5,3215,2,8.8114,0.0,16.9125,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3231,5,3215,2,9.4408,0.0,18.417,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3232,5,3215,2,10.0702,0.0,19.0016,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3233,5,3215,2,10.6995,0.0,18.5415,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3234,5,3215,2,11.3289,0.0,18.3594,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3235,5,3215,2,11.9583,0.0,18.1971,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3236,5,3215,2,12.5877,0.0,19.7071,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3237,5,3215,2,13.2171,0.0,20.4684,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3238,5,3215,2,13.8465,0.0,21.5275,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3239,5,3215,2,14.4759,0.0,22.9676,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3240,5,3215,2,15.1052,0.0,24.8481,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3241,5,3215,2,15.7346,0.0,26.8581,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3242,5,3215,2,16.364,0.0,28.7259,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3243,5,3215,2,16.9934,0.0,29.5525,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3244,5,3215,2,17.6228,0.0,27.5545,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3245,5,3215,2,18.2522,0.0,26.006,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3246,5,3215,2,18.8816,0.0,24.5096,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3247,5,3215,2,19.5109,0.0,22.2873,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3248,5,3215,2,20.1403,0.0,20.4755,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3249,5,3215,2,20.7697,0.0,20.0907,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3250,5,3215,2,21.3991,0.0,18.2023,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3251,5,3215,2,22.0285,0.0,18.2824,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3252,5,3215,2,22.6579,0.0,18.6225,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3253,5,3215,2,23.2873,0.0,18.832,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3254,5,3215,2,23.9166,0.0,16.6904,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3255,5,3215,2,24.546,0.0,14.4275,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3256,5,3215,2,25.1754,0.0,12.2471,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3257,5,3215,2,25.8048,0.0,11.5899,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3258,5,3215,2,26.4342,0.0,9.0813,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3259,5,3215,2,27.0636,0.0,6.8894,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
