id,table_id,record_id,title
127,0,130,Grade 5 | 2009 | Not Economically Disadvantaged: 75.8% above proficient
128,0,131,Grade 6 | 2009 | Economically Disadvantaged: 40.0% above proficient
129,0,132,Grade 6 | 2009 | Not Economically Disadvantaged: 70.1% above proficient
130,0,133,Grade 7 | 2009 | Economically Disadvantaged: 37.6% above proficient
131,0,134,Grade 7 | 2009 | Not Economically Disadvantaged: 70.8% above proficient
132,0,135,Grade 8 | 2009 | Economically Disadvantaged: 30.9% above proficient
133,0,136,Grade 8 | 2009 | Not Economically Disadvantaged: 62.9% above proficient
134,0,137,Grade 9 | 2009 | Economically Disadvantaged: 24.0% above proficient
135,0,138,Grade 9 | 2009 | Not Economically Disadvantaged: 50.8% above proficient
136,0,139,Grade 10 | 2009 | Economically Disadvantaged: 21.4% above proficient
137,0,140,Grade 10 | 2009 | Not Economically Disadvantaged: 46.5% above proficient
138,0,141,Grade 11 | 2009 | Economically Disadvantaged: 20.5% above proficient
139,0,142,Grade 11 | 2009 | Not Economically Disadvantaged: 45.3% above proficient
140,0,143,Grade 2 | 2010 | Economically Disadvantaged: 51.3% above proficient
141,0,144,Grade 2 | 2010 | Not Economically Disadvantaged: 77.9% above proficient
142,0,145,Grade 3 | 2010 | Economically Disadvantaged: 45.6% above proficient
143,0,146,Grade 3 | 2010 | Not Economically Disadvantaged: 75.4% above proficient
144,0,147,Grade 4 | 2010 | Economically Disadvantaged: 58.9% above proficient
145,0,148,Grade 4 | 2010 | Not Economically Disadvantaged: 83.4% above proficient
146,0,149,Grade 5 | 2010 | Economically Disadvantaged: 51.7% above proficient
147,0,150,Grade 5 | 2010 | Not Economically Disadvantaged: 80.5% above proficient
148,0,151,Grade 6 | 2010 | Economically Disadvantaged: 45.4% above proficient
149,0,152,Grade 6 | 2010 | Not Economically Disadvantaged: 77.3% above proficient
150,0,153,Grade 7 | 2010 | Economically Disadvantaged: 42.1% above proficient
151,0,154,Grade 7 | 2010 | Not Economically Disadvantaged: 72.3% above proficient
152,0,155,Grade 8 | 2010 | Economically Disadvantaged: 39.1% above proficient
153,0,156,Grade 8 | 2010 | Not Economically Disadvantaged: 69.7% above proficient
154,0,157,Grade 9 | 2010 | Economically Disadvantaged: 29.3% above proficient
155,0,158,Grade 9 | 2010 | Not Economically Disadvantaged: 56.7% above proficient
156,0,159,Grade 10 | 2010 | Economically Disadvantaged: 26.4% above proficient
157,0,160,Grade 10 | 2010 | Not Economically Disadvantaged: 52.2% above proficient
158,0,161,Grade 11 | 2010 | Economically Disadvantaged: 23.6% above proficient
159,0,162,Grade 11 | 2010 | Not Economically Disadvantaged: 51.8% above proficient
160,0,163,Grade 2 | 2011 | Economically Disadvantaged: 51.6% above proficient
161,0,164,Grade 2 | 2011 | Not Economically Disadvantaged: 79.9% above proficient
162,0,165,Grade 3 | 2011 | Economically Disadvantaged: 48.0% above proficient
163,0,166,Grade 3 | 2011 | Not Economically Disadvantaged: 77.1% above proficient
164,0,167,Grade 4 | 2011 | Economically Disadvantaged: 60.0% above proficient
165,0,168,Grade 4 | 2011 | Not Economically Disadvantaged: 84.3% above proficient
166,0,169,Grade 5 | 2011 | Economically Disadvantaged: 54.2% above proficient
167,0,170,Grade 5 | 2011 | Not Economically Disadvantaged: 82.1% above proficient
168,0,171,Grade 6 | 2011 | Economically Disadvantaged: 45.9% above proficient
169,0,172,Grade 6 | 2011 | Not Economically Disadvantaged: 74.4% above proficient
170,0,173,Grade 7 | 2011 | Economically Disadvantaged: 46.6% above proficient
171,0,174,Grade 7 | 2011 | Not Economically Disadvantaged: 77.0% above proficient
172,0,175,Grade 8 | 2011 | Economically Disadvantaged: 42.7% above proficient
173,0,176,Grade 8 | 2011 | Not Economically Disadvantaged: 71.3% above proficient
174,0,177,Grade 9 | 2011 | Economically Disadvantaged: 31.6% above proficient
175,0,178,Grade 9 | 2011 | Not Economically Disadvantaged: 59.4% above proficient
176,0,179,Grade 10 | 2011 | Economically Disadvantaged: 30.1% above proficient
177,0,180,Grade 10 | 2011 | Not Economically Disadvantaged: 57.5% above proficient
178,0,181,Grade 11 | 2011 | Economically Disadvantaged: 26.8% above proficient
179,0,182,Grade 11 | 2011 | Not Economically Disadvantaged: 52.3% above proficient
180,0,183,Grade 2 | 2012 | Economically Disadvantaged: 50.8% above proficient
181,0,184,Grade 2 | 2012 | Not Economically Disadvantaged: 81.6% above proficient
182,0,185,Grade 3 | 2012 | Economically Disadvantaged: 51.2% above proficient
183,0,186,Grade 3 | 2012 | Not Economically Disadvantaged: 80.6% above proficient
184,0,187,Grade 4 | 2012 | Economically Disadvantaged: 59.9% above proficient
185,0,188,Grade 4 | 2012 | Not Economically Disadvantaged: 84.4% above proficient
186,0,189,Grade 5 | 2012 | Economically Disadvantaged: 55.7% above proficient
187,0,190,Grade 5 | 2012 | Not Economically Disadvantaged: 82.6% above proficient
188,0,191,Grade 6 | 2012 | Economically Disadvantaged: 49.1% above proficient
189,0,192,Grade 6 | 2012 | Not Economically Disadvantaged: 80.4% above proficient
190,0,193,Grade 7 | 2012 | Economically Disadvantaged: 49.8% above proficient
191,0,194,Grade 7 | 2012 | Not Economically Disadvantaged: 79.3% above proficient
192,0,195,Grade 8 | 2012 | Economically Disadvantaged: 47.0% above proficient
193,0,196,Grade 8 | 2012 | Not Economically Disadvantaged: 75.7% above proficient
194,0,197,Grade 9 | 2012 | Economically Disadvantaged: 34.0% above proficient
195,0,198,Grade 9 | 2012 | Not Economically Disadvantaged: 60.6% above proficient
196,0,199,Grade 10 | 2012 | Economically Disadvantaged: 34.0% above proficient
197,0,200,Grade 10 | 2012 | Not Economically Disadvantaged: 62.5% above proficient
198,0,201,Grade 11 | 2012 | Economically Disadvantaged: 27.9% above proficient
199,0,202,Grade 11 | 2012 | Not Economically Disadvantaged: 54.7% above proficient
